MPID,Name,Constituency,Region,Party,Gender,Ethnicity,Religion,DoB,Previous_Occupation,Term,Parliament,Start_Date,End_Date,image
LWMP-02-0192,U Wamm Hla,Nanyun,Sagaing,NLD,Male,Naga,Christian,02/03/1989,Art,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0033.jpg
LWMP-02-0193,U Min Naung,Pinlebu,Sagaing,NLD,Male,Bamar,Buddhist,06/13/1968,အငြိမ်းစားပညာရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_122.jpg
LWMP-02-0194,Daw Khin San Hlaing,Pale,Sagaing,NLD,Female,Bamar,Buddhist,03/09/1968,Business,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0062.jpg
LWMP-02-0195,U Htin Wai,Paungbyin,Sagaing,NLD,Male,Bamar,Buddhist,05/06/1966,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_046.jpg
LWMP-02-0196,U Kyaw Soe,Banmauk,Sagaing,NLD,Male,Kachin,Christian,01/17/1975,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_095.jpg
LWMP-02-0197,U Myint Han Tun,Budalin,Sagaing,NLD,Male,Bamar,Buddhist,02/20/1954,စာအုပ်ငှားရမ်းရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0031.jpg
LWMP-02-0198,U Maung Myint,Mingin,Sagaing,USDP,Male,Bamar,Buddhist,03/21/1956,ကိုယ်ပိုင်အထက်တန်းကျောင်းတည်ထောင်သူ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_031.jpg
LWMP-02-0199,U Soe San Thet Tun,Myinmu,Sagaing,NLD,Male,Kayin,Buddhist,12/04/1981,လယ်/နိုင်ငံရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_013.jpg
LWMP-02-0200,U Htay Ngwe,Myaung,Sagaing,NLD,Male,Bamar,Buddhist,01/01/1957,လက်ရှိပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ် (စစ်ကိုင်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_018.jpg
LWMP-02-0201,U Thant Sin Maung,Monywa,Sagaing,NLD,Male,Bamar,Buddhist,11/30/1983,ဒု-ဥက္ကဋ္ဌ၊မြန်မာနိုင်ငံမြေငလျင်ကော်မတီ,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0007.jpg
LWMP-02-0202,Daw Cho Cho Win,Mawlaik,Sagaing,NLD,Female,Bamar,Buddhist,08/28/1968,Politic,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_042.jpg
LWMP-02-0203,U Aung Soe,Yinmarbin,Sagaing,NLD,Male,Chin,Christian,09/04/1984,အလယ်တန်းကျောင်းအုပ်(အငြိမ်းစား),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0043.jpg
LWMP-02-0204,Dr. Daw A Zin Latt,Shwebo,Sagaing,NLD,Female,Kachin-Shan-Bamar,Buddhist,02/16/1951,ဒါရိုက်တာ၊ ကျောင်းအုပ်ကြီး၊ ကမ္ဘောဇပညာရိပ်သာကိုယ်ပိုင်သင်တန်းကျောင်း၊ ရန်ကုန်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0119.jpg
LWMP-02-0205,Dr. U Min Thein,Ye-U,Sagaing,NLD,Male,Bamar,Buddhist,10/25/1955,Doctor,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0093.jpg
LWMP-02-0206,U Thet Naung,Lahe,Sagaing,NLD,Male,Bamar,Buddhist,12/11/1960,ဆီစက်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0039.jpg
LWMP-02-0207,U Kyaw Htay,Lay Shi,Sagaing,NLD,Male,Bamar,Buddhist,09/01/1981,Computer & Mobile Phone,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0036.jpg
LWMP-02-0208,U Myint Thein,Wetlet,Sagaing,NLD,Male,ရဝမ်,Christian,11/25/1962,ပညာရေး (အငြိမ်းစား),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0116.jpg
LWMP-02-0209,U Nay Soe Aung,Wuntho,Sagaing,NLD,Male,Kayah,Christian RCM,06/02/1957,ပညာရေး(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_116.jpg
LWMP-02-0210,U Myo Nyunt,Homalin,Sagaing,NLD,Male,Bamar,Buddhist,11/15/1957,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_063.jpg
LWMP-02-0211,Dr. Daw Pyone,Indaw,Sagaing,NLD,Female,Bamar-Kayah,Buddhist,08/07/1946,Dependence,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_087.jpg
LWMP-02-0212,Dr. U Khin  Maung Thin,Ayadaw,Sagaing,NLD,Male,Bamar-Chinese,Buddhist,05/19/1958,ဆရာဝန်၊ ဆေးခန်းဖွင့်,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150826_0027.jpg
LWMP-02-0213,U Stephen,Kengtung,Shan,USDP,Male,Bamar,Buddhist,07/22/1969,ဒု-ညွန်ကြားရေးမှူး(စက်မှု) (ငြိမ်း)၊ ဆည်မြောင်ဦးစီးဌာန,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0163.jpg
LWMP-02-0215,Sai Tun Aung,Kyaukme,Shan,SNLD,Male,Bamar,Buddhist,07/08/1974,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150820_014.jpg
LWMP-02-0216,Daw Pyone Kathy Naing,Kalaw,Shan,NLD,Female,Kayin,Buddhist,06/06/1961,Retired,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0058.jpg
LWMP-02-0217,U T Khun Myat,Kutkai,Shan,USDP,Male,Rakhine,Buddhist,05/25/1954,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150819_0049.jpg
LWMP-02-0218,Nan Khin Saw,Kunhing,Shan,SNLD,Female,Bamar,Buddhist,06/17/1952,ကိုယ်ပိုင်ဆေးခန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_047.jpg
LWMP-02-0219,U Yan Kyin Kan,Kunlong,Shan,KDUP,Male,Kokang,Buddhist,02/17/1948,Company Servant,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150828_038.jpg
LWMP-02-0220,U Le Kyein Fu (or)  Myint Swe,Konkyan,Shan,USDP,Male,Rakhine,Buddhist,08/07/1984,Shop Keeper,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0062.jpg
LWMP-02-0221,Khun Than Htoo,Hsihseng,Shan,PNO,Male,Bamar,Buddhist,05/25/1973,ဒုတိယပါမောက္ခချုပ် ကျောင်းအုပ်ကြီး (ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0103.jpg
LWMP-02-0222,U Win Myint Oo (or)  Nay Myo,Nyaungshwe,Shan,NLD,Male,Bamar,Buddhist,12/25/1960,ကိုယ်ပိုင်သင်တန်းဆရာ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0071.jpg
LWMP-02-0223,Sai Maung Pwint (or)  Aung Pwint,Tangyan,Shan,SNLD,Male,Bamar,Buddhist,08/14/1980,ကိုယ်ပိုင်စတိုးဆိုင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,0
LWMP-02-0224,U Htay Win,Tachileik,Shan,NLD,Male,Bamar,Buddhist,04/01/1954,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_065.jpg
LWMP-02-0225,Dr. Daw Than Ngwe,Taunggyi,Shan,NLD,Female,Bamar,Buddhist,06/10/1951,ပြင်ပသင်တန်းဆရာ,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0057.jpg
LWMP-02-0226,Nan Khan Aye,Namtu,Shan,SNLD,Female,Bamar,Buddhist,02/13/1963,Doctor,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150820_032.jpg
LWMP-02-0227,U Tun Kyaw,Namhkan,Shan,TPNP,Male,Bamar,Buddhist,11/17/1947,Construction,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150831_030.jpg
LWMP-02-0228,U Htay Lwin (or) D Lone,Nansang,Shan,USDP,Male,Shan,Buddhist,08/01/1955,Pyighu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0099.jpg
LWMP-02-0229,U Win Htoo,Namhsan,Shan,TPNP,Male,Palaung,Buddhist,11/04/1953,လ္ဘက်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0054.jpg
LWMP-02-0231,U Tun Tun Hein (or)  Tun Aung,Nawnghkio,Shan,NLD,Male,Rakhine,Buddhist,04/22/1952,Military (retired),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150820_026.jpg
LWMP-02-0232,U Soe Myint,Pindaya,Shan,NLD,Male,Bamar,Buddhist,01/25/1984,အလယ်တန်းကျောင်းအုပ် (ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_073.jpg
LWMP-02-0233,Khun Maung Thaung,Pinlaung,Shan,PNO,Male,Bamar,Buddhist,03/20/1964,ရွှေနန်းတော် စိန်ရွှေရတနာဆိုင် ပိုင်ရှင်၊ Jewel Menufacturing Company Ltd၊ M.D၊ United GP Develoment Co.Ltd၊ M.D,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0105.jpg
LWMP-02-0236,U Phoe Maung,Pekon,Shan,NLD,Male,Shan,Buddhist,03/24/1969,စစ်မှုထမ်းဟောင်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0066.jpg
LWMP-02-0237,U Tin Aye,Matman,Shan,Independent,Male,Bamar,Buddhist,05/15/1985,တက္ကသိုလ်ဝင်တန်းကျူရှင်ဆရာ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150903_0024.jpg
LWMP-02-0238,Nan Moe,Man Tun,Shan,TPNP,Female,Bamar,Buddhist,05/06/1965,မွေးမြူရေးဝန်ဆောင်မှုလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0058.jpg
LWMP-02-0239,U Aung Myint Shein,Mabein,Shan,NLD,Male,Bamar,Buddhist,05/04/1965,-,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0758.jpg
LWMP-02-0240,Sai San Thein,Mongnai,Shan,SNLD,Male,Bamar,Buddhist,10/15/1958,တောင်သူ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_031.jpg
LWMP-02-0241,U Toe Thang,Mongmit,Shan,NLD,Male,Bamar,Buddhist,03/25/1962,စစ်မှုထမ်း(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0744.jpg
LWMP-02-0242,Sai Hsai Mine,Mongkaing,Shan,SNLD,Male,Bamar-Rakhine,Buddhist,11/09/1950,ကွန်ပျူတာပညာရှင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_044.jpg
LWMP-02-0243,U Sel Kee Kaw,Mongkhet,Shan,USDP,Male,Bamar,Buddhist,06/16/1948,ပါမောက္ခ၊ ဌာနမှူး(ငြိမ်း)၊ သမိုင်းဌာန၊ မန္တလေးအဝေးသင်တက္ကသိုလ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_100.jpg
LWMP-02-0244,Sai Khathtiya,Monghsat,Shan,USDP,Male,Bamar,Buddhist,06/19/1945,လျှပ်စစ်ပစ္စည်းရောင်းဝယ်ရေး,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150819_0149.jpg
LWMP-02-0245,U Aung Kyaw Oo (or)  Kyaw Oo,Mongton,Shan,NLD,Male,Bamar,Buddhist,02/26/1978,ပန်းချီကား အရောင်းဆိုင်ပိုင်ရှင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_039.jpg
LWMP-02-0246,Sai Kyaw Moe,Mongpan,Shan,USDP,Male,Bamar,Buddhist,11/03/1950,စက်မှုလက်မှု/ဥယျာဉ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0053.jpg
LWMP-02-0247,Sai Tun Sein,Mongping,Shan,USDP,Male,Bamar,Buddhist,10/30/1950,အရောင်းအဝယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,#N/A
LWMP-02-0248,U Lynn Zaw Tun,Mong Pawk,Shan,USDP,Male,Lisu,Christian,06/01/1985,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_060.jpg
LWMP-02-0250,Sai Hsam,Monghpyak,Shan,USDP,Male,Bamar,Buddhist,05/18/1955,Retired,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0118.jpg
LWMP-02-0251,Sai Tun Aung,Mongyawng,Shan,NLD,Male,Bamar,Buddhist,02/18/1957,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_061.jpg
LWMP-02-0252,Sai Thiha Kyaw,Mongyai,Shan,SNLD,Male,Bamar,Buddhist,05/12/1970,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0106.jpg
LWMP-02-0255,Sai Phoe Myat,Muse,Shan,SNLD,Male,Bamar,Buddhist,08/14/1975,ဓါတ်မြေဩဇာကိုယ်စားလှယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150819_0052.jpg
LWMP-02-0256,Sai Ngaung Sai Hein,Mawkmai,Shan,USDP,Male,Rakhine,Buddhist,11/02/1958,ထွေ/အုပ်၊ ဦးစီးအရာရှိ (ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0048.jpg
LWMP-02-0257,U Khin Maung Myint,Lawksawk,Shan,USDP,Male,Naga,Christian,11/21/1971,တရားရေးဌာန(ငြိမ်း),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0579.jpg
LWMP-02-0258,U Aung Soe Min,Ywangan,Shan,NLD,Male,Bamar,Buddhist,04/19/1962,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150826_074.jpg
LWMP-02-0259,Sai Ba Hein,Langkho,Shan,SNLD,Male,Lisu,Christian,04/08/1943,Cultivator,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150826_0051.jpg
LWMP-02-0260,U Khin Maung Thi,Loilen,Shan,USDP,Male,Bamar,Buddhist,05/12/1958,Cultivator,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0087.jpg
LWMP-02-0261,Dr. Sai Mak Kham,Lashio,Shan,USDP,Male,Mon-Bamar,Buddhist,05/29/1977,အထွေထွေဆေးကုဂေဟာ၊ ရော်ဘာခြံစိုက်ပျိုးခြင်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0085.jpg
LWMP-02-0262,U Lu Tal Hone (or)  Aung Shwe,Laukkaing,Shan,USDP,Male,Bamar,Buddhist,05/19/1954,Private Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0060.jpg
LWMP-02-0263,Sai Moon,Laihka,Shan,SNLD,Male,Bamar,Buddhist,01/02/1950,ကုန်သည်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0092.jpg
LWMP-02-0264,Sai Oo Kham,Hseni,Shan,SNLD,Male,English / Bamar-Bamar,Buddhist,08/22/1955,အငြိမ်းစား၊ ရုံးအဖွဲ့မှူး (ဒုတိယ ညွှန်ကြားရေးမှူးချုပ်),Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0093.jpg
LWMP-02-0265,Sai Thant Zin,Hsipaw,Shan,SNLD,Male,Bamar,Buddhist,10/01/1961,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150828_013.jpg
LWMP-02-0266,U Kyin Wam,Hopang,Shan,WDP,Male,Bamar,Buddhist,01/23/1953,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150820_0083.jpg
LWMP-02-0267,Khon Aung Kyaw,Hopong,Shan,PNO,Male,Bamar,Buddhist,09/26/1961,Pyithu Hluttaw Mp,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150820_0110.jpg
LWMP-02-0268,Daw Tin Tin Yee,Kyunsu,Tanintari,NLD,Female,Bamar,Buddhist,11/10/1946,စတိုးဆိုင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150827_0004.jpg
LWMP-02-0269,U Khin Zaw,Kawthoung,Tanintari,NLD,Male,Bamar,Buddhist,06/13/1974,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150827_0023.jpg
LWMP-02-0270,U Aung Kyaw Hein,Tanintharyi,Tanintari,NLD,Male,Bamar,Buddhist,07/05/1975,Seller,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150827_0002.jpg
LWMP-02-0271,U Aung Sein,Dawei,Tanintari,NLD,Male,That,Buddhist,11/23/1946,မူလတန်းကျောင်းအုပ်(အငြိမ်းစား),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_054.jpg
LWMP-02-0272,U Ohn Khin,Palaw,Tanintari,NLD,Male,Bamar,Buddhist,09/28/1954,နိုင်ငံရေးသမား ၊ပြည်သူ့လွှတ်တော် ကိုယ်စားလှယ်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150821_082.jpg
LWMP-02-0273,U Nay Lynn Tun,Bokpyin,Tanintari,NLD,Male,Rakhine,Buddhist,05/25/1966,ကျူရှင်ဆရာ၊ စာရေးဆရာ,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150827_0021.jpg
LWMP-02-0274,U Soe Paing Htay,Myeik,Tanintari,NLD,Male,Bamar,Buddhist,06/18/1958,Private Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150827_0008.jpg
LWMP-02-0275,U Thet Naing Oo,Yebyu,Tanintari,NLD,Male,Bamar,Buddhist,07/19/1957,ဆီကြိတ်လုပ်ငန်းနှင့်တွင်ခုံ,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_060.jpg
LWMP-02-0276,Daw Khin Sandi,Launglon,Tanintari,NLD,Female,Bamar,Buddhist,10/24/1960,Pyithu Hluttaw MP,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150821_056.jpg
LWMP-02-0277,U Aung Soe,Thayet,Tanintari,NLD,Male,Bamar,Buddhist,01/29/1949,Lawyer,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150827_013.jpg
LWMP-02-0278,U Phyo Zayar Thaw (or) Zayar Thaw,Za Bu Thi Ri,Union Region,NLD,Male,Shan,Buddhist,09/06/1966,ရောင်းဝယ်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150811_0023.jpg
LWMP-02-0279,U Hla Htay Win,Zay Yar Thi Ri,Union Region,USDP,Male,Chin,Christian,01/13/1951,အုတ်ခဲလုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150821_0106.jpg
LWMP-02-0280,U Kyaw Tint,Tatkon,Union Region,NLD,Male,Chin,Christian,11/15/1953,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A
LWMP-02-0281,U Thant Zin Tun,Det Khi Na Thi Ri,Union Region,NLD,Male,La Hu,Christian,12/24/1971,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A
LWMP-02-0282,U Than Soe Aung,Pyinmana,Union Region,NLD,Male,Bamar,Buddhist,08/30/1943,အထည်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A
LWMP-02-0283,U Yee Mon (or) Maung Tin Thit,Poke Ba Thi Ri,Union Region,NLD,Male,Bamar,Buddhist,02/16/1955,ကဗျာဆရာ ၊ စာရေးဆရာ၊ MEITI-MSG အဖွဲ့ဝင်,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A
LWMP-02-0284,U Myo Zaw Oo,Lewe,Union Region,NLD,Male,Bamar,Buddhist,05/25/1951,Private Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A
LWMP-02-0285,U Kyaw Min Hlaing,Oke Ta Ra Thi Ri,Union Region,NLD,Male,Lhaovo,Christian,03/09/1952,Cultivator,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A
LWMP-02-0286,U Kyaw Min,Kamaryut,Yangon,NLD,Male,Kokang,Buddhist,09/09/1946,Agricultural,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150821_055.jpg
LWMP-02-0287,U Nay Myo Htet,Kyauktada,Yangon,NLD,Male,Rakhine,Buddhist,01/23/1965,Politic,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150814_0040.jpg
LWMP-02-0288,Daw Aye Mya Mya Myo,Kyauktan,Yangon,NLD,Female,Bamar,Buddhist,08/04/1949,Teacher,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_040.jpg
LWMP-02-0289,U Zaw Win,Kyeemyindaing,Yangon,NLD,Male,Bamar,Buddhist,05/23/1956,ဆီစက်လုပ်ငန်း,Second,Pyithu Hluttaw,02/01/2016, ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150821_012.jpg
LWMP-02-0290,U Soe Thura Tun,Kungyangon,Yangon,NLD,Male,Bamar,Buddhist,07/10/1949,Merchant,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_063.jpg
LWMP-02-0291,Thura U Thet Swe,Cocokyun,Yangon,USDP,Male,Bamar,Buddhist,02/14/1963,Lawyer,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_076.jpg
LWMP-02-0292,Daw Aung San Su Kyi,Kawhmu,Yangon,NLD,Female,Bamar,Buddhist,10/21/1972,Politic,Second,Pyithu Hluttaw,02/01/2016,03/30/2016,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150813_0046.jpg
LWMP-02-0293,Dr. U Aye Min,Kayan,Yangon,NLD,Male,Inn,Buddhist,12/11/1944,ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်(ကလော),Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150820_046.jpg
LWMP-02-0294,U Bo Bo Oo,Sanchaung,Yangon,NLD,Male,Bamar,Buddhist,04/24/1959,ဆေးပစ္စည်းအရောင်းဆိုင်,Second,Pyithu Hluttaw,02/01/2016,10/14/1582,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150814_0049.jpg
